zone,backtest_pnl,sharpe,win_pct,trades,n_test_days,gross_annual,after_haircut_50pct,after_haircut_25pct,annual_cost,net_base_case,net_conservative,label
DE_LU,22484.5,51.73087988506321,100.0,400,50,1641368.5,820684.25,410342.125,35000,785684.25,375342.125,Germany-Luxembourg
NL,18811.19,32.51393781019923,98.75,400,50,1373216.8699999999,686608.4349999999,343304.21749999997,30000,656608.4349999999,313304.21749999997,Netherlands
DK_1,16469.749959,33.43010278740884,96.25,400,50,1202291.747007,601145.8735035,300572.93675175,15000,586145.8735035,285572.93675175,West Denmark
DK_2,16331.479975,36.31772072664052,93.5,400,50,1192198.038175,596099.0190875,298049.50954375,15000,581099.0190875,283049.50954375,East Denmark
SE_4,15747.29,20.777351375877444,93.75,400,50,1149552.1700000002,574776.0850000001,287388.04250000004,15000,559776.0850000001,272388.04250000004,South Sweden
FI,10218.359999999999,16.26601742958902,85.71428571428571,392,50,745940.2799999999,372970.13999999996,186485.06999999998,18000,354970.13999999996,168485.06999999998,Finland
SE_3,9845.86,15.364963242991447,93.75,400,50,718747.78,359373.89,179686.945,15000,344373.89,164686.945,Central Sweden
NO_1,4921.24,20.439039818737914,81.12244897959184,392,49,366582.1632653061,183291.08163265305,91645.54081632652,15000,168291.08163265305,76645.54081632652,South-East Norway
SE_2,4749.31,13.926357017433661,82.5,400,50,346699.63000000006,173349.81500000003,86674.90750000002,15000,158349.81500000003,71674.90750000002,North-Central Sweden
SE_1,4184.44,11.92595030074268,81.75,400,50,305464.11999999994,152732.05999999997,76366.02999999998,15000,137732.05999999997,61366.029999999984,North Sweden
NO_5,2556.65,14.923900921751734,77.8061224489796,392,49,190444.33673469388,95222.16836734694,47611.08418367347,15000,80222.16836734694,32611.08418367347,West Norway
NO_3,2166.58,12.358945312997726,73.46938775510205,392,49,161388.10204081633,80694.05102040817,40347.02551020408,15000,65694.05102040817,25347.025510204083,Middle Norway
NO_4,1071.7200000000003,6.847347474059595,70.40816326530613,392,49,79832.20408163268,39916.10204081634,19958.05102040817,15000,24916.10204081634,4958.051020408169,North Norway
