zone,label,mean_price,std_price,cv_price,neg_pct,price_range,entry_cost_eur,has_wind_solar,has_load,cv_price_norm,neg_pct_norm,entry_cost_eur_norm,data_score,attractiveness
DK_1,West Denmark,74.63811267679667,51.32256056650013,0.6876186806697643,5.125864092865528,996.330028,25000,True,True,0.2441845041756634,0.974525717117407,1.0,1.0,0.729096005740834
DK_2,East Denmark,75.34510369655668,52.794289267421135,0.7006996696168044,3.423764184165906,996.269997,25000,True,True,0.25970204692148807,0.6130966445950219,1.0,1.0,0.6441698775712763
NO_1,South-East Norway,68.59764684366141,40.53823316374373,0.5909566148257689,0.8778614320114609,592.22,25000,True,True,0.1295175057777083,0.07249190938511325,1.0,1.0,0.4634541043684762
NO_2,South Norway,72.01729039245667,35.81668865323343,0.4973345769890974,0.8441641182466871,958.21,25000,True,True,0.01845679164030419,0.06533651927067356,1.0,1.0,0.4227940068917749
NO_3,Middle Norway,45.51053342274514,39.60415100780303,0.8702194421656629,0.8016581827049105,541.18,25000,True,True,0.4607977230541866,0.056310679611650476,1.0,1.0,0.5753568729718779
NO_4,North Norway,27.729748834090284,36.73516644171204,1.3247565515829958,1.9294662724418572,386.32,25000,True,True,1.0,0.29579288025889977,1.0,1.0,0.823948220064725
NO_5,West Norway,64.57634224403328,38.24881813108689,0.5923038809870189,0.5364708751181151,547.91,25000,True,True,0.13111572287978226,0.0,1.0,1.0,0.4458905030079238
SE_1,North Sweden,33.74289907641662,42.073653610546394,1.2468891162926856,4.127167982442772,620.84,25000,True,True,0.9076284476260081,0.7624595469255664,1.0,1.0,0.9082848434004944
SE_2,North-Central Sweden,33.271887097265825,42.49775308392095,1.2772871271077761,5.245831682262931,586.21,25000,True,True,0.9436885982859429,1.0,1.0,1.0,0.9802910094000798
SE_3,Central Sweden,55.600744775739045,48.05741902283971,0.8643304908356046,3.6760958205912333,767.48,25000,True,True,0.45381185567349913,0.6666775118843793,1.0,1.0,0.7255035274568196
SE_4,South Sweden,67.71828841743118,52.623142664420826,0.7770890832331675,3.768476044852192,759.0500000000001,25000,True,True,0.350320271271308,0.6862938097311706,1.0,1.0,0.6941855473777505
FI,Finland,56.34295455238212,70.41717845969872,1.24979563139934,4.029627823330387,1917.39,30000,True,True,0.911076349966687,0.7417475728155339,0.8333333333333334,1.0,0.8709802823588906
DE_LU,Germany-Luxembourg,89.20929791029563,49.50102546297481,0.5548863921421121,4.265417940876656,1186.6,50000,True,True,0.08672859856196531,0.791815963665634,0.16666666666666663,1.0,0.46164233374642966
NL,Netherlands,87.95605907275886,46.394211624320086,0.5274703313610486,3.801018075410736,1222.96,45000,True,True,0.05420583619172847,0.6932038834951458,0.33333333333333337,1.0,0.4589396802075581
BE,Belgium,82.68115493644649,43.00960983219968,0.5201863697387796,3.3163654098210746,1027.79,45000,True,True,0.04556511443207278,0.5902912621359224,0.33333333333333337,1.0,0.4301872722518728
FR,France,63.011210412411984,43.27849313952092,0.68683799051408,3.639467186880849,591.29,55000,True,True,0.24325839737203245,0.6588996763754047,0.0,1.0,0.44986535817406254
AT,Austria,103.02666808912731,49.63576141245946,0.48177585797028855,2.255616179473893,1102.6,45000,True,True,0.0,0.36504854368932044,0.33333333333333337,1.0,0.3579288025889968
PL,Poland,108.81939159325755,53.67582019833319,0.4932560218583224,2.2251348797512724,763.1400000000001,40000,True,True,0.013618537144467768,0.3585760517799353,0.5,1.0,0.3944105009455475
EE,Estonia,94.50911787118602,84.31967046919495,0.8921855622874495,1.3625140976011216,1917.71,35000,True,True,0.48685540182218756,0.17540453074433657,0.6666666666666667,1.0,0.5475838566571831
LV,Latvia,99.91552046819278,82.3237142503864,0.8239331974114414,1.1826744292376627,1502.49,35000,True,True,0.4058898881477244,0.1372168284789644,0.6666666666666667,1.0,0.509699001304778
LT,Lithuania,100.33937635260767,82.18680677667234,0.8190882758515016,1.237540768738379,1502.49,35000,True,True,0.4001425186093115,0.1488673139158576,0.6666666666666667,1.0,0.5106000433255569
